"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"ABY","Albany","US","Albany",197.0,31.5329,-84.1962
"ABZ","Aberdeen","GB","Aberdeen",215.0,57.2019,-2.19778
"ACA","Acapulco","MX","Acapulco",16.0,16.7571,-99.754
"ACB","Antrim County, MI","US","Bellaire",623.0,44.9886,-85.1984
"ACC","Accra","GH","Accra",205.0,5.60519,-0.166786
"ACD","Acandi, CH","CO","Acandí",50.0,8.49785,-77.2741
"ACE","Arrecife","ES","Lanzarote",46.0,28.9455,-13.6052
"ACH","Altenrhein","CH","Altenrhein",1306.0,47.485,9.56077
"ACI","Alderney","GG","Alderney",290.0,49.7061,-2.21472
"ACK","Nantucket","US","Nantucket",47.0,41.2531,-70.0602
"ACM","Arica","CO","Arica",316.0,-2.14485,-71.7584
"ACN","Int'l","MX","Ciudad Acuna",1410.0,29.3337,-101.101
"ACR","Araracuara, CQ","CO","Araracuara",1250.0,-0.600854,-72.398
"ACS","Achinsk","RU","Achinsk",1033.0,56.2692,90.5751
"ACT","Regional, TX","US","Waco",516.0,31.6113,-97.2305
"ACU","Achutupo","PA","Achutupo",10.0,9.18848,-77.9942
"ACV","Arcata","US","Arcata",221.0,40.9781,-124.109
"ACY","Atlantic City","US","Atlantic City",75.0,39.4576,-74.5772
"ADA","Adana","TR","Adana",65.0,36.9822,35.2804
"ADB","Izmir","TR","Izmir",412.0,38.2924,27.157
"ADD","Addis Abeba","ET","Addis Ababa",7630.0,8.97789,38.7993
"ADE","Aden","YE","Aden",7.0,12.8295,45.0288
"ADF","Adiyaman","TR","Adiyaman",2216.0,37.7314,38.4689
"ADG","Lenawee County, MI","US","Adrian",798.0,41.8662,-84.078
"ADH","Aldan","RU","Aldan",2241.0,58.6028,125.409
"ADI","Arandis","NA","Arandis",1905.0,-22.4619,14.9793
"ADJ","Amman","JO","Amman",2555.0,31.9727,35.9916
"ADK","Adak NAF, AK","US","Adak Island",18.0,51.8836,-176.643
"ADL","Adelaide","AU","Adelaide",20.0,-34.9475,138.533
"ADM","Municipal, OK","US","Ardmore",777.0,34.303,-97.0196
"ADO","Andamooka, SA","AU","",76.0,-30.4383,137.137
"ADP","Anuradhapura","LK","Ampara",150.0,7.33674,81.6239
"ADQ","Kodiak, AK","US","Kodiak",78.0,57.75,-152.494
"ADR","Andrews Sc","US","Andrews Sc",26.0,33.4517,-79.5262
"ADS","Addison, TX","US","Dallas",644.0,32.9686,-96.8364
"ADT","Ada, OK","US","Ada",1016.0,34.8052,-96.672
"ADU","Ardabil","IR","Ardabil",4315.0,38.3257,48.4244
"ADV","Andover","SD","El Daein",1560.0,11.4023,26.1186
"ADW","Camp Springs MD","US","Camp Springs MD",280.0,38.8108,-76.867
"ADX","Leuchars","GB","Leuchars",38.0,56.374,-2.86886
"ADY","Alldays","ZA","Alldays",2600.0,-22.679,29.0555
"ADZ","Sesquicentenario, SA","CO","San Andres",19.0,12.5836,-81.7112
"AEA","Abemama Atoll","KI","Abemama",8.0,0.490833,173.829
"AEG","Aek Godang","ID","Padang Sidempuan",922.0,1.4001,99.4305
"AEH","Abecher","TD","Abecher",1788.0,13.847,20.8443
"AEK","Aseki","PG","Aseki",4106.0,-7.3508,146.194
"AEL","Albert Lea, MN","US","Albert Lea",1260.0,43.6815,-93.3672
"AEO","Aioun El Atrouss","MR","Aioun El Atrouss",951.0,16.7113,-9.63788
"AEP","Buenos Aires","AR","Buenos Aires",18.0,-34.5592,-58.4156
"AER","Sochi","RU","Adler/Sochi",89.0,43.4499,39.9566
"AES","Aalesund","NO","Aalesund",69.0,62.5625,6.1197
"AET","Allakaket, AK","US","Allakaket",441.0,66.5518,-152.622
"AEX","Int'l, LA","US","Alexandria",89.0,31.3274,-92.5498
"AEY","AKUREYRI","IS","Akureyri",6.0,65.66,-18.0727
"AFA","San Rafael, MD","AR","San Rafael",2470.0,-34.5883,-68.4039
"AFD","Port Alfred","ZA","Port Alfred",275.0,-33.5542,26.8777
"AFF","USAF Academy, CO","US","Colorado Springs",6572.0,38.9725,-104.821
"AFI","Amalfi, AN","CO","Amalfi",5507.0,6.89503,-75.0473
"AFL","Alta Floresta, MT","BR","Alta Floresta",948.0,-9.86639,-56.1063
"AFN","Municipal, NH","US","Jaffrey",1040.0,42.8051,-72.003
"AFO","Municipal, WY","US","Afton",6221.0,42.7112,-110.942
"AFR","Afore","PG","",2500.0,-9.14222,148.391
"AFT","Afutara","SB","Bila",23.0,-9.19139,160.949
"AFW","Alliance, TX","US","Fort Worth",722.0,32.9904,-97.3195
"AFY","AFYON","TR","AFYON",3310.0,38.7264,30.6011
"AGA","Agadir","MA","Agadir",250.0,30.3225,-9.412
"AGB","Augsburg","DE","Augsburg",1516.0,48.4253,10.9317
"AGC","Allegheny County, PA","US","Pittsburgh",1252.0,40.3544,-79.9302
"AGD","Anggi","ID","Anggi-Papua Island",6644.0,-1.3858,133.874
"AGE","Wangerooge","DE","Wangerooge",7.0,53.7828,7.91389
"AGF","Agen","FR","Agen",204.0,44.1747,0.590556
"AGG","Angoram","PG","Angoram",75.0,-4.05583,144.074
"AGH","Helsingborg","SE","Helsingborg",68.0,56.2961,12.8471
"AGI","Wageningen","SR","Wageningen",6.0,5.84125,-56.6732
"AGJ","Aguni","JP","Aguni",38.0,26.5928,127.24
"AGK","Kagua","PG","Kagua",5350.0,-6.39639,143.854
"AGL","Wanigela","PG","",53.0,-9.3375,149.156
"AGM","Ammassalik","GL","Tasiilaq",24.0,65.6123,-37.6183
"AGO","Municipal, AR","US","Magnolia",319.0,33.228,-93.217
"AGP","Malaga","ES","Malaga",53.0,36.6749,-4.49911
