"code","name","airline","destination","terminal","scheduleTime","aircraftType","aircraftSubType","direction","dayOfWeek"
"3O121-2-A","3O121","3O","NDR",1,"18:35:00","32S","320","A",2
"3O121-4-A","3O121","3O","NDR",1,"10:20:00","32S","320","A",4
"3O121-5-A","3O121","3O","NDR",1,"10:15:00","32S","320","A",5
"3O122-2-D","3O122","3O","NDR",3,"19:45:00","32S","320","D",2
"3O122-4-D","3O122","3O","NDR",3,"11:10:00","32S","320","D",4
"3O122-5-D","3O122","3O","NDR",3,"11:25:00","32S","320","D",5
"3O125-1-A","3O125","3O","FEZ",1,"19:15:00","32S","320","A",1
"3O125-4-A","3O125","3O","FEZ",1,"18:40:00","32S","320","A",4
"3O125-7-A","3O125","3O","FEZ",1,"19:15:00","32S","320","A",7
"3O126-1-D","3O126","3O","FEZ",3,"20:10:00","32S","320","D",1
"3O126-4-D","3O126","3O","FEZ",3,"19:30:00","32S","320","D",4
"3O126-7-D","3O126","3O","FEZ",3,"20:10:00","32S","320","D",7
"3O127-2-A","3O127","3O","TNG",1,"11:00:00","32S","320","A",2
"3O127-4-A","3O127","3O","TNG",1,"18:55:00","32S","320","A",4
"3O127-5-A","3O127","3O","TNG",1,"10:20:00","32S","320","A",5
"3O127-6-A","3O127","3O","TNG",1,"12:00:00","32S","320","A",6
"3O128-2-D","3O128","3O","TNG",3,"11:50:00","32S","320","D",2
"3O128-4-D","3O128","3O","TNG",3,"19:55:00","32S","320","D",4
"3O128-5-D","3O128","3O","TNG",3,"11:20:00","32S","320","D",5
"3O128-6-D","3O128","3O","TNG",3,"12:55:00","32S","320","D",6
"5F737-3-A","5F737","5F","KIV",3,"14:10:00","32S","320","A",3
"5F737-6-A","5F737","5F","KIV",1,"13:40:00","32S","319","A",6
"5F738-3-D","5F738","5F","KIV",3,"15:10:00","32S","320","D",3
"5F738-6-D","5F738","5F","KIV",3,"14:40:00","32S","319","D",6
"5Y5219-4-A","5Y5219","5Y","MIA",1,"08:40:00","74F","74Y","A",4
"5Y5421-1-A","5Y5421","5Y","MIA",1,"08:25:00","74F","74Y","A",1
"5Y5421-7-A","5Y5421","5Y","MIA",1,"08:25:00","74F","74Y","A",7
"5Y8153-6-A","5Y8153","5Y","CGO",1,"14:15:00","74F","74Y","A",6
"5Y8154-6-D","5Y8154","5Y","ORD",1,"20:35:00","74F","74Y","D",6
"5Y8158-3-D","5Y8158","5Y","ORD",1,"07:20:00","74F","74Y","D",3
"5Y8185-4-D","5Y8185","5Y","ICN",1,"14:15:00","74F","74Y","D",4
"5Y8187-1-D","5Y8187","5Y","ICN",1,"13:00:00","74F","74Y","D",1
"5Y8187-7-D","5Y8187","5Y","ICN",1,"13:00:00","74F","74Y","D",7
"7L203-3-A","7L203","7L","GYD",1,"07:00:00","74F","74N","A",3
"7L204-3-D","7L204","7L","GYD",1,"10:00:00","74F","74N","D",3
"7L209-5-A","7L209","7L","GYD",1,"14:30:00","","","A",5
"7L210-5-D","7L210","7L","GYD",1,"17:30:00","","","D",5
"8R6768-2-A","8R6768","8R","SXB",1,"08:05:00","ERJ","ER4","A",2
"8R6768-3-A","8R6768","8R","SXB",1,"08:05:00","ERJ","ER4","A",3
"8R6768-4-A","8R6768","8R","SXB",1,"08:05:00","ERJ","ER4","A",4
"8R6768-5-A","8R6768","8R","SXB",1,"08:05:00","ERJ","ER4","A",5
"8R6769-2-D","8R6769","8R","SXB",1,"08:50:00","ERJ","ER4","D",2
"8R6769-3-D","8R6769","8R","SXB",1,"08:50:00","ERJ","ER4","D",3
"8R6769-4-D","8R6769","8R","SXB",1,"08:50:00","ERJ","ER4","D",4
"8R6769-5-D","8R6769","8R","SXB",1,"08:50:00","ERJ","ER4","D",5
"8R6774-2-A","8R6774","8R","SXB",1,"19:50:00","ERJ","ER4","A",2
"8R6774-3-A","8R6774","8R","SXB",1,"19:50:00","ERJ","ER4","A",3
"8R6774-4-A","8R6774","8R","SXB",1,"19:50:00","ERJ","ER4","A",4
"8R6774-5-A","8R6774","8R","SXB",1,"19:50:00","ERJ","ER4","A",5
"8R6775-2-D","8R6775","8R","SXB",1,"20:35:00","ERJ","ER4","D",2
"8R6775-3-D","8R6775","8R","SXB",1,"20:35:00","ERJ","ER4","D",3
"8R6775-4-D","8R6775","8R","SXB",1,"20:35:00","ERJ","ER4","D",4
"8R6775-5-D","8R6775","8R","SXB",1,"20:35:00","ERJ","ER4","D",5
"A3624-2-A","A3624","A3","ATH",1,"11:25:00","32S","32Q","A",2
"A3624-4-A","A3624","A3","ATH",1,"11:25:00","32S","32Q","A",4
"A3624-6-A","A3624","A3","ATH",1,"11:25:00","32S","32Q","A",6
"A3625-2-D","A3625","A3","ATH",1,"12:25:00","32S","32Q","D",2
"A3625-4-D","A3625","A3","ATH",1,"12:25:00","32S","32Q","D",4
"A3625-6-D","A3625","A3","ATH",1,"12:25:00","32S","32Q","D",6
"A3626-1-A","A3626","A3","ATH",1,"16:10:00","32S","32Q","A",1
"A3626-3-A","A3626","A3","ATH",1,"16:10:00","32S","32Q","A",3
"A3626-5-A","A3626","A3","ATH",1,"16:10:00","32S","32Q","A",5
"A3626-7-A","A3626","A3","ATH",1,"16:10:00","32S","32Q","A",7
"A3627-1-D","A3627","A3","ATH",1,"17:10:00","32S","32Q","D",1
"A3627-3-D","A3627","A3","ATH",1,"17:10:00","32S","32Q","D",3
"A3627-5-D","A3627","A3","ATH",1,"17:10:00","32S","32Q","D",5
"A3627-7-D","A3627","A3","ATH",1,"17:10:00","32S","32Q","D",7
"A90651-2-A","A90651","A9","TBS",1,"08:40:00","737","73W","A",2
"A90651-6-A","A90651","A9","TBS",1,"08:35:00","737","73W","A",6
"A90652-2-D","A90652","A9","TBS",3,"10:20:00","737","73W","D",2
