iataMain,iataSub,longDescription,shortDescription
74F,74Y,BOEING 747-400F FREIGHTER,B747-400F
74M,74E,BOEING 747-400 MIXED CONFIGURATION,B747-400M
757,75T,BOEING B757-300 WINGLETS,B757-300W
757,75W,Boeing 757-200 Winglets,B757-200W
757,752,BOEING 757-200 PASSENGER,B757-200P
75F,75V,Boeing 757-200 Freighter Winglets,B757-200F WL
75F,75C,BOEING 757-200PF FREIGHTER,B757-200F
767,76W,Boeing 767-300 winglet,B767-300 WING
767,764,BOEING B767-400,B767-400
767,762,BOEING 767-200/200ER,B767-200
767,763,BOEING 767-300/300ER,B767-300 ER
76F,76Y,BOEING 767-300 FREIGHTER,B767-300F
777,779,Boeing 777-9,B777-9
777,778,Boeing 777-8,B777-8
777,77L,Boeing 777-200 Long Range,B777-200LR
777,77W,BOEING 777-300ER,B777-300ER
777,772,Boeing 777-200ER,B777-200ER
777,772,BOEING 777-200,B777-200
777,773,BOEING 777-300,B777-300
77F,77X,BOEING 777-200 FREIGHTER,B777-200LRF
787,789,Boeing 787-9 Dreamliner,B787-9
787,788,Boeing 787-8 Dreamliner,B787-8
787,781,Boeing 787-10 Dreamliner,B787-10
AB3,AB6,AIRBUS A300-600/600C PASSENGER,AIRBUS A300-6P
ABB,ABB,BGA- Airbus Transport Beluga,A300-605ST
ABF,ABX,AIRBUS A300C4/F4 FREIGHTER,AIRBUS A300F
ABF,ABY,AIRBUS A300-600 FREIGHTER,A300-600F
AGH,AGH,AGUSTA A109 MKII/E,AGUSTA A109
APH,APH,EUROCOPTER SUPER PUMA/COUGAR,COUGAR-AS532
ARJ,AR1,RJ-100 AVROLINER,BAE146 RJ-100
ARJ,AR8,AVRO RJ85 AVROLINER,BAE 146-RJ85
AT4,AT3,AEROSPATIALE/AERITALIA ATR 42-300,ATR42-300
AT7,AT7,AEROSPATIALE/ALENIA ATR72-600,ATR72-600
AT7,AT7,AEROSPATIALE/ALENIA ATR72-500,ATR72-500
AT7,AT7,AEROSPATIALE/AERITALIA ATR72-201,ATR72-201
ATR,AT7,AEROSPATIALE/AERITALIA ATR72,ATR72
ATR,ATR,Avions de transport regional,ATR72-212A
AW6,AW6,AGUSTA WESTLAND AW169,AGUSTA AW169
AW8,AW8,AgustaWestland AW189,AGUSTA AW189
AWH,AWH,AgustaWestland AW139,AGUSTA AW139
BE1,BEH,BEECHCRAFT 1900D,BEECH 1900D
BEC,BET,BEECH SUPER KING AIR 200(C12-MIL),BEECH 200
BEC,BEP,BEECH BONANZA 36,BEECH 36
BEC,BET,BEECH AIRCRAFT F90,BEECH F90
BEC,BET,BEECH KING AIR 90(U21A MIL),BEECH 90M
BEC,BET,BEECH SUPER KING AIR 350,BEECH 350
BEC,BET,Beech C90GTi King Air,Beech C90GTi
BEC,BET,Beechcraft King Air 360,BEECH 360
BEC,BE2,BEECH BARON 58,BEECH 58
BW6,BW6,Blackwing 600RG,BW600RG
C17,C17,Boeing C-17 Globemaster III,BOEING C-17
CC6,CC6,BOMBARDIER GLOBAL 6000/6500/XRS,GLOB 6000/6500
CC7,CC7,BOMBARDIER GLOBAL 7500,GLOB.7500
CCJ,CCJ,BOMBARDIER CHALLENGER 601,BOMBARD.CL601
CCX,CCX,BOMBARDIER GLOBAL 5000/5500,GLOB.5000/5500
CL3,CL3,BOMBARDIER CHALLENGER 300,BOMBARD.CL300
CL5,CL5,BOMBARDIER CHALLENGER 350/3500,BOMBARD.CL350
CL6,CL6,BOMBARDIER CHALLENGER 600,BOMBARD.CL600
CL6,CL6,BOMBARDIER CHALLENGER 605,BOMBARD.CL605
CL6,CL6,BOMBARDIER CHALLENGER 650,BOMBARD.CL650
CL6,CL6,BOMBARDIER CHALLENGER 604,BOMBARD.CL604
CL8,CL8,BOMBARDIER CHALLENGER 850,BOMBARD.CL850
CNA,CNT,REIMS CESSNA 406 CARAVAN II,CESSNA 406
CNA,CNT,CESSNA 441 CONQUEST II,CESSNA 441
CNA,CN2,CESSNA 310,CESSNA 310
CNA,CN2,CESSNA 340,CESSNA 340
CNA,CN2,cessna 337f super skymaster,CESSNA 337F
CNA,CN1,CESSNA 177 CARDINAL,CESSNA 177
CNA,CNT,CESSNA 425 CONQUEST I,CESSNA 425
CNA,CN1,CESSNA 182 SKYLANE,CESSNA 182
CNA,CN1,CESSNA 210 CENTURION,CESSNA 210
CNA,CN1,Cessna 175 Skylark,CESSNA 175
CNA,CN2,CESSNA 414 CHANCELLOR,CESSNA 414
