iata,icao,nvls,publicName
8R,AIA,5286,Amelia
8W,PWF,5231,Private Wings Flugcharter GMBH
9W,JAI,2481,Jet Airways
A3,AEE,386,Aegean Airlines
A5,HOP,5021,HOP!
A9,TGZ,16,Georgian Airways
AA,AAL,555,American Airlines
AC,ACA,54,Air Canada
AD,AZU,5211,Azul Linhas Aereas Brasileiras
AF,AFR,80,Air France
AI,AIC,712,Air India
AM,AMX,794,Aeromexico
AP,LAV,4987,Alba Star
AR,,4915,Saudi Aramco Aviation
AT,RAM,145,Royal Air Maroc
AV,AVA,5197,Avianca Cargo
AY,FIN,78,Finnair
AZ,ITY,12,ITA
B2,BRU,504,Belavia
BA,BAW,31,British Airways
BE,BEE,502,Flybe
BR,EVA,71,Eva Air
BT,BTI,419,AirBaltic
CD,CND,4982,Corendon Dutch Airlines
CI,CAL,44,China Airlines
CM,CMP,1405,COPA Airlines
CX,CPA,4826,Cathay Pacific
CY,CYP,5205,Charlie Airlines Ltd
CZ,CSN,43,China Southern Airlines
D8,IBK,5081,Norwegian Air International
DB,MLT,5079,Maleth-Aero
DK,VKG,5242,Sunclass Airlines Aps.
DL,DAL,58,Delta Air Lines
DS,EZS,74,easyJet Switzerland
DT,DTA,1676,TAAG Angola Airlines
DY,NAX,532,Norwegian Air Shuttle
EC,EJU,5151,easyJet Europe
EE,EST,5275,Xfly
EI,EIN,108,Aer Lingus
EK,UAE,4913,Emirates
ER,SEP,5267,Serene Air
ET,ETH,188,Ethiopian Airlines
EW,EWG,133,Eurowings
EY,ETD,274,Etihad Airways
F5,ATG,5194,ATC
F6,VAW,5288,Fly2Sky
F7,RSY,5204,I Fly
FB,LZB,387,Bulgaria Air
FH,FHY,190,Freebird Airlines
FI,ICE,94,Icelandair
FR,RYR,234,Ryanair
G3,GLO,4918,Gol Transportes Aereos
GA,GIA,85,Garuda Indonesia
GF,GFA,528,Gulf Air
GM,GSW,5093,Germania Flug AG
GQ,SEH,4812,Sky Express
GS,GCR,5203,TianJin Air
GW,GJT,5176,Get Jet Airlines
HO,DKH,5200,Juneyao Airlines
HV,TRA,164,Transavia
I2,IBS,5003,Iberia Express
IB,IBE,92,Iberia
IR,IRA,95,Iranair
IZ,AIZ,30,Arkia
JO,JNK,5213,Jonika
